,,,,,,,,,
REF_STATE_NAME,REF_COUNTY_NAME,REF_COMMUN_NAME,PRODUCT_EFFECTIVE_DATE,,,,,,
,,JEFFERSON COUNTY UNINCORPORATED AREAS,2/4/15,,,,,,
,,JEFFERSON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"JEFFERSON, CITY OF",2/4/15,,,,,,
,,"JEFFERSON, CITY OF Total",,,,,,,
,,"JOHNSON CREEK, VILLAGE OF",2/4/15,,,,,,
,,"JOHNSON CREEK, VILLAGE OF Total",,,,,,,
,,"LAC LA BELLE, VILLAGE OF",2/4/15,,,,,,
,,"LAC LA BELLE, VILLAGE OF Total",,,,,,,
,,"LAKE MILLS,CITY OF",2/4/15,,,,,,
,,"LAKE MILLS,CITY OF Total",,,,,,,
,,"PALMYRA, VILLAGE OF",2/4/15,,,,,,
,,"PALMYRA, VILLAGE OF Total",,,,,,,
,,"SULLIVAN, VILLAGE OF",2/4/15,,,,,,
,,"SULLIVAN, VILLAGE OF Total",,,,,,,
,,"WATERLOO, CITY OF",2/4/15,,,,,,
,,"WATERLOO, CITY OF Total",,,,,,,
,,"WHITEWATER, CITY OF",2/4/15,,,,,,
,,"WHITEWATER, CITY OF Total",,,,,,,
,JEFFERSON COUNTY Total,,,,,,,,
,JUNEAU COUNTY,"CAMP DOUGLAS, VILLAGE OF",10/16/12,,,,,,
,,"CAMP DOUGLAS, VILLAGE OF Total",,,,,,,
,,"ELROY, CITY OF",10/16/12,,,,,,
,,"ELROY, CITY OF Total",,,,,,,
,,"HUSTLER, VILLAGE OF",10/16/12,,,,,,
,,"HUSTLER, VILLAGE OF Total",,,,,,,
,,JUNEAU COUNTY ALL JURISDICTIONS,10/16/12,,,,,,
,,JUNEAU COUNTY ALL JURISDICTIONS Total,,,,,,,
,,JUNEAU COUNTY UNINCORPORATED AREAS,10/16/12,,,,,,
,,JUNEAU COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"LYNDON STATION, VILLAGE OF",10/16/12,,,,,,
,,"LYNDON STATION, VILLAGE OF Total",,,,,,,
,,"MAUSTON, CITY OF",10/16/12,,,,,,
,,"MAUSTON, CITY OF Total",,,,,,,
,,"NECEDAH, VILLAGE OF",10/16/12,,,,,,
,,"NECEDAH, VILLAGE OF Total",,,,,,,
,,"NEW LISBON, CITY OF",10/16/12,,,,,,
,,"NEW LISBON, CITY OF Total",,,,,,,
,,"UNION CENTER, VILLAGE OF",10/16/12,,,,,,
,,"UNION CENTER, VILLAGE OF Total",,,,,,,
,,"WONEWOC, VILLAGE OF",10/16/12,,,,,,
,,"WONEWOC, VILLAGE OF Total",,,,,,,
,JUNEAU COUNTY Total,,,,,,,,
,KENOSHA COUNTY,"BRISTOL, VILLAGE OF",6/19/12,,,,,,
,,"BRISTOL, VILLAGE OF Total",,,,,,,
,,"GENOA CITY, VILLAGE OF",6/19/12,,,,,,
,,"GENOA CITY, VILLAGE OF Total",,,,,,,
,,KENOSHA COUNTY ALL JURISDICTIONS,3/7/17,,,,,,
,,KENOSHA COUNTY ALL JURISDICTIONS Total,,,,,,,
,,KENOSHA COUNTY UNINCORPORATED AREAS,3/7/17,,,,,,
,,KENOSHA COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"KENOSHA, CITY OF",3/7/17,,,,,,
,,"KENOSHA, CITY OF Total",,,,,,,
,,"PADDOCK LAKE, VILLAGE OF",6/19/12,,,,,,
,,"PADDOCK LAKE, VILLAGE OF Total",,,,,,,
,,"PLEASANT PRAIRIE, VILLAGE OF",3/7/17,,,,,,
,,"PLEASANT PRAIRIE, VILLAGE OF Total",,,,,,,
,,"SILVER LAKE, VILLAGE OF",6/19/12,,,,,,
,,"SILVER LAKE, VILLAGE OF Total",,,,,,,
,,"TWIN LAKES, VILLAGE OF",6/19/12,,,,,,
,,"TWIN LAKES, VILLAGE OF Total",,,,,,,
,KENOSHA COUNTY Total,,,,,,,,
,KEWAUNEE COUNTY,"ALGOMA, CITY OF",6/15/79,,,,,,
,,"ALGOMA, CITY OF Total",,,,,,,
,,"CASCO, VILLAGE OF",8/15/79,,,,,,
,,"CASCO, VILLAGE OF Total",,,,,,,
,,KEWAUNEE COUNTY UNINCORPORATED AREAS,9/3/80,,,,,,
,,KEWAUNEE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"KEWAUNEE, CITY OF",2/15/80,,,,,,
,,"KEWAUNEE, CITY OF Total",,,,,,,
,,"LUXEMBURG, VILLAGE OF",9/4/86,,,,,,
,,"LUXEMBURG, VILLAGE OF Total",,,,,,,
,KEWAUNEE COUNTY Total,,,,,,,,
,LA CROSSE COUNTY,"BANGOR, VILLAGE OF",1/6/12,,,,,,
,,"BANGOR, VILLAGE OF Total",,,,,,,
,,"HOLMEN, VILLAGE OF",1/6/12,,,,,,
,,"HOLMEN, VILLAGE OF Total",,,,,,,
,,LA CROSSE COUNTY ALL JURISDICTIONS,1/6/12,,,,,,
,,LA CROSSE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,LA CROSSE COUNTY UNINCORPORATED AREAS,1/6/12,,,,,,
,,LA CROSSE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"LA CROSSE, CITY OF",1/6/12,,,,,,
,,"LA CROSSE, CITY OF Total",,,,,,,
,,"ONALASKA, CITY OF",1/6/12,,,,,,
,,"ONALASKA, CITY OF Total",,,,,,,
,,"ROCKLAND, VILLAGE OF",1/6/12,,,,,,
,,"ROCKLAND, VILLAGE OF Total",,,,,,,
,,"WEST SALEM, VILLAGE OF",1/6/12,,,,,,
,,"WEST SALEM, VILLAGE OF Total",,,,,,,
,LA CROSSE COUNTY Total,,,,,,,,
,LAFAYETTE COUNTY,"ARGYLE, VILLAGE OF",8/15/79,,,,,,
,,"ARGYLE, VILLAGE OF Total",,,,,,,
,,"BELMONT, VILLAGE OF",12/4/86,,,,,,
,,"BELMONT, VILLAGE OF Total",,,,,,,
,,"DARLINGTON, CITY OF",11/5/03,,,,,,
,,"DARLINGTON, CITY OF Total",,,,,,,
,,"GRATIOT, VILLAGE OF",12/4/86,,,,,,
,,"GRATIOT, VILLAGE OF Total",,,,,,,
,,LAFAYETTE COUNTY UNINCORPORATED AREAS,11/5/03,,,,,,
,,LAFAYETTE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"SHULLSBURG, CITY OF",7/17/86,,,,,,
,,"SHULLSBURG, CITY OF Total",,,,,,,
,,"SOUTH WAYNE, VILLAGE OF",12/4/86,,,,,,
,,"SOUTH WAYNE, VILLAGE OF Total",,,,,,,
,LAFAYETTE COUNTY Total,,,,,,,,
,LANGLADE COUNTY,"ANTIGO, CITY OF",10/31/75,,,,,,
,,"ANTIGO, CITY OF Total",,,,,,,
,,LANGLADE COUNTY UNINCORPORATED AREAS,9/28/90,,,,,,
,,LANGLADE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"WHITE LAKE, VILLAGE OF",10/1/76,,,,,,
,,"WHITE LAKE, VILLAGE OF Total",,,,,,,
,LANGLADE COUNTY Total,,,,,,,,
,LINCOLN COUNTY,LINCOLN COUNTY ALL JURISDICTIONS,8/16/11,,,,,,
,,LINCOLN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,LINCOLN COUNTY UNINCORPORATED AREAS,8/16/11,,,,,,
,,LINCOLN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MERRILL, CITY OF",8/16/11,,,,,,
,,"MERRILL, CITY OF Total",,,,,,,
,,"TOMAHAWK, CITY OF",8/16/11,,,,,,
,,"TOMAHAWK, CITY OF Total",,,,,,,
,LINCOLN COUNTY Total,,,,,,,,
,MANITOWOC COUNTY,"CLEVELAND, VILLAGE OF",8/2/11,,,,,,
,,"CLEVELAND, VILLAGE OF Total",,,,,,,
,,"FRANCIS CREEK, VILLAGE OF",8/2/11,,,,,,
,,"FRANCIS CREEK, VILLAGE OF Total",,,,,,,
,,"KELLNERSVILLE, VILLAGE OF",8/2/11,,,,,,
,,"KELLNERSVILLE, VILLAGE OF Total",,,,,,,
,,MANITOWOC COUNTY ALL JURISDICTIONS,8/2/11,,,,,,
,,MANITOWOC COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MANITOWOC COUNTY UNINCORPORATED AREAS,8/2/11,,,,,,
,,MANITOWOC COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MANITOWOC, CITY OF",8/2/11,,,,,,
,,"MANITOWOC, CITY OF Total",,,,,,,
,,"MARIBEL, VILLAGE OF",8/2/11,,,,,,
,,"MARIBEL, VILLAGE OF Total",,,,,,,
,,"MISHICOT, VILLAGE OF",8/2/11,,,,,,
,,"MISHICOT, VILLAGE OF Total",,,,,,,
,,"REEDSVILLE, VILLAGE OF",8/2/11,,,,,,
,,"REEDSVILLE, VILLAGE OF Total",,,,,,,
,,"ST. NAZIANZ, VILLAGE OF",8/2/11,,,,,,
,,"ST. NAZIANZ, VILLAGE OF Total",,,,,,,
,,"TWO RIVERS, CITY OF",8/2/11,,,,,,
,,"TWO RIVERS, CITY OF Total",,,,,,,
,,"VALDERS, VILLAGE OF",8/2/11,,,,,,
,,"VALDERS, VILLAGE OF Total",,,,,,,
,,"WHITELAW, VILLAGE OF",8/2/11,,,,,,
,,"WHITELAW, VILLAGE OF Total",,,,,,,
,MANITOWOC COUNTY Total,,,,,,,,
,MARATHON COUNTY,"ATHENS, VILLAGE OF",7/22/10,,,,,,
,,"ATHENS, VILLAGE OF Total",,,,,,,
,,"BIRNAMWOOD, VILLAGE OF",7/22/10,,,,,,
,,"BIRNAMWOOD, VILLAGE OF Total",,,,,,,
,,"BROKAW, VILLAGE OF",7/22/10,,,,,,
,,"BROKAW, VILLAGE OF Total",,,,,,,
,,"EDGAR, VILLAGE OF",7/22/10,,,,,,
,,"EDGAR, VILLAGE OF Total",,,,,,,
,,"ELDERON, VILLAGE OF",7/22/10,,,,,,
,,"ELDERON, VILLAGE OF Total",,,,,,,
,,"FENWOOD, VILLAGE OF",7/22/10,,,,,,
,,"FENWOOD, VILLAGE OF Total",,,,,,,
,,"HATLEY, VILLAGE OF",7/22/10,,,,,,
,,"HATLEY, VILLAGE OF Total",,,,,,,
,,"KRONENWETTER, VILLAGE OF",7/22/10,,,,,,
,,"KRONENWETTER, VILLAGE OF Total",,,,,,,
,,"MARATHON CITY, VILLAGE OF",7/22/10,,,,,,
,,"MARATHON CITY, VILLAGE OF Total",,,,,,,
,,MARATHON COUNTY ALL JURISDICTIONS,7/22/10,,,,,,
,,MARATHON COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MARATHON COUNTY UNINCORPORATED AREAS,7/22/10,,,,,,
,,MARATHON COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MARSHFIELD, CITY OF",7/22/10,,,,,,
,,"MARSHFIELD, CITY OF Total",,,,,,,
,,"MOSINEE, CITY OF",7/22/10,,,,,,
,,"MOSINEE, CITY OF Total",,,,,,,
,,"ROTHSCHILD, VILLAGE OF",7/22/10,,,,,,
,,"ROTHSCHILD, VILLAGE OF Total",,,,,,,
,,"SCHOFIELD, CITY OF",7/22/10,,,,,,
,,"SCHOFIELD, CITY OF Total",,,,,,,
,,"STRATFORD, VILLAGE OF",7/22/10,,,,,,
,,"STRATFORD, VILLAGE OF Total",,,,,,,
,,"WAUSAU, CITY OF",7/22/10,,,,,,
,,"WAUSAU, CITY OF Total",,,,,,,
,,"WESTON, VILLAGE OF",7/22/10,,,,,,
,,"WESTON, VILLAGE OF Total",,,,,,,
,MARATHON COUNTY Total,,,,,,,,
,MARINETTE COUNTY,"COLEMAN, VILLAGE OF",9/1/86,,,,,,
,,"COLEMAN, VILLAGE OF Total",,,,,,,
,,MARINETTE COUNTY UNINCORPORATED AREAS,11/4/92,,,,,,
,,MARINETTE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MARINETTE, CITY OF",3/15/78,,,,,,
,,"MARINETTE, CITY OF Total",,,,,,,
,,"NIAGARA, CITY OF",4/3/78,,,,,,
,,"NIAGARA, CITY OF Total",,,,,,,
,,"PESHTIGO, CITY OF",3/4/91,,,,,,
,,"PESHTIGO, CITY OF Total",,,,,,,
,,"WAUSAUKEE, VILLAGE OF",7/1/87,,,,,,
,,"WAUSAUKEE, VILLAGE OF Total",,,,,,,
,MARINETTE COUNTY Total,,,,,,,,
,MARQUETTE COUNTY,"ENDEAVOR, VILLAGE OF",12/18/12,,,,,,
,,"ENDEAVOR, VILLAGE OF Total",,,,,,,
,,MARQUETTE COUNTY ALL JURISDICTIONS,12/18/12,,,,,,
,,MARQUETTE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MARQUETTE COUNTY UNINCORPORATED AREAS,12/18/12,,,,,,
,,MARQUETTE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"MONTELLO, CITY OF",12/18/12,,,,,,
,,"MONTELLO, CITY OF Total",,,,,,,
,,"NESHKORO, VILLAGE OF",12/18/12,,,,,,
,,"NESHKORO, VILLAGE OF Total",,,,,,,
,,"OXFORD, VILLAGE OF",12/18/12,,,,,,
,,"OXFORD, VILLAGE OF Total",,,,,,,
,,"WESTFIELD, VILLAGE OF",12/18/12,,,,,,
,,"WESTFIELD, VILLAGE OF Total",,,,,,,
,MARQUETTE COUNTY Total,,,,,,,,
,MILWAUKEE COUNTY,"BAYSIDE, VILLAGE OF",9/26/08,,,,,,
,,"BAYSIDE, VILLAGE OF Total",,,,,,,
,,"BROWN DEER, VILLAGE OF",9/26/08,,,,,,
,,"BROWN DEER, VILLAGE OF Total",,,,,,,
,,"CUDAHY, CITY OF",9/26/08,,,,,,
,,"CUDAHY, CITY OF Total",,,,,,,
,,"FOX POINT, VILLAGE OF",9/26/08,,,,,,
,,"FOX POINT, VILLAGE OF Total",,,,,,,
,,"FRANKLIN, CITY OF",9/26/08,,,,,,
,,"FRANKLIN, CITY OF Total",,,,,,,
,,"GLENDALE, CITY OF",9/26/08,,,,,,
,,"GLENDALE, CITY OF Total",,,,,,,
,,"GREENDALE, VILLAGE OF",9/26/08,,,,,,
,,"GREENDALE, VILLAGE OF Total",,,,,,,
,,"GREENFIELD, CITY OF",9/26/08,,,,,,
,,"GREENFIELD, CITY OF Total",,,,,,,
,,"HALES CORNERS, VILLAGE OF",9/26/08,,,,,,
,,"HALES CORNERS, VILLAGE OF Total",,,,,,,
,,MILWAUKEE COUNTY ALL JURISDICTIONS,9/26/08,,,,,,
,,MILWAUKEE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,"MILWAUKEE, CITY OF",11/5/14,,,,,,
,,"MILWAUKEE, CITY OF Total",,,,,,,
,,"OAK CREEK, CITY OF",9/26/08,,,,,,
,,"OAK CREEK, CITY OF Total",,,,,,,
,,"RIVER HILLS, VILLAGE OF",9/26/08,,,,,,
,,"RIVER HILLS, VILLAGE OF Total",,,,,,,
,,"SHOREWOOD, VILLAGE OF",9/26/08,,,,,,
,,"SHOREWOOD, VILLAGE OF Total",,,,,,,
,,"SOUTH MILWAUKEE, CITY OF",9/26/08,,,,,,
,,"SOUTH MILWAUKEE, CITY OF Total",,,,,,,
,,"ST. FRANCIS, CITY OF",9/26/08,,,,,,
,,"ST. FRANCIS, CITY OF Total",,,,,,,
,,"WAUWATOSA, CITY OF",9/26/08,,,,,,
,,"WAUWATOSA, CITY OF Total",,,,,,,
,,"WEST ALLIS, CITY OF",9/26/08,,,,,,
,,"WEST ALLIS, CITY OF Total",,,,,,,
,,"WEST MILWAUKEE, VILLAGE OF",9/26/08,,,,,,
,,"WEST MILWAUKEE, VILLAGE OF Total",,,,,,,
,,"WHITEFISH BAY, VILLAGE OF",9/26/08,,,,,,
,,"WHITEFISH BAY, VILLAGE OF Total",,,,,,,
,MILWAUKEE COUNTY Total,,,,,,,,
,MONROE COUNTY,"BLUE WING VILLAGE, VILLAGE OF",1/20/10,,,,,,
,,"BLUE WING VILLAGE, VILLAGE OF Total",,,,,,,
,,"CASHTON, VILLAGE OF",1/20/10,,,,,,
,,"CASHTON, VILLAGE OF Total",,,,,,,
,,"KENDALL, VILLAGE OF",1/20/10,,,,,,
,,"KENDALL, VILLAGE OF Total",,,,,,,
,,"MELVINA, VILLAGE OF",1/20/10,,,,,,
,,"MELVINA, VILLAGE OF Total",,,,,,,
,,MONROE COUNTY ALL JURISDICTIONS,1/20/10,,,,,,
,,MONROE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,MONROE COUNTY UNINCORPORATED AREAS,1/20/10,,,,,,
,,MONROE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"NORWALK, VILLAGE OF",1/20/10,,,,,,
,,"NORWALK, VILLAGE OF Total",,,,,,,
,,"OAKDALE, VILLAGE OF",1/20/10,,,,,,
,,"OAKDALE, VILLAGE OF Total",,,,,,,
,,"ONTARIO, VILLAGE OF",11/2/12,,,,,,
,,"ONTARIO, VILLAGE OF Total",,,,,,,
,,"SPARTA, CITY OF",1/20/10,,,,,,
,,"SPARTA, CITY OF Total",,,,,,,
,,"TOMAH, CITY OF",1/20/10,,,,,,
,,"TOMAH, CITY OF Total",,,,,,,
,,"WARRENS, VILLAGE OF",1/20/10,,,,,,
,,"WARRENS, VILLAGE OF Total",,,,,,,
,,"WILTON, VILLAGE OF",1/20/10,,,,,,
,,"WILTON, VILLAGE OF Total",,,,,,,
,,"WYEVILLE, VILLAGE OF",1/20/10,,,,,,
,,"WYEVILLE, VILLAGE OF Total",,,,,,,
,MONROE COUNTY Total,,,,,,,,
,OCONTO COUNTY,"GILLETT, CITY OF",10/6/10,,,,,,
,,"GILLETT, CITY OF Total",,,,,,,
,,"LENA, VILLAGE OF",10/6/10,,,,,,
,,"LENA, VILLAGE OF Total",,,,,,,
,,OCONTO COUNTY ALL JURISDICTIONS,10/6/10,,,,,,
,,OCONTO COUNTY ALL JURISDICTIONS Total,,,,,,,
,,OCONTO COUNTY UNINCORPORATED AREAS,10/6/10,,,,,,
,,OCONTO COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"OCONTO FALLS, CITY OF",10/6/10,,,,,,
,,"OCONTO FALLS, CITY OF Total",,,,,,,
,,"OCONTO, CITY OF",10/6/10,,,,,,
,,"OCONTO, CITY OF Total",,,,,,,
,,"SURING, VILLAGE OF",10/6/10,,,,,,
,,"SURING, VILLAGE OF Total",,,,,,,
,OCONTO COUNTY Total,,,,,,,,
,ONEIDA COUNTY,ONEIDA COUNTY ALL JURISDICTIONS,5/16/13,,,,,,
,,ONEIDA COUNTY ALL JURISDICTIONS Total,,,,,,,
,,ONEIDA COUNTY UNINCORPORATED AREAS,5/16/13,,,,,,
,,ONEIDA COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"RHINELANDER, CITY OF",5/16/13,,,,,,
,,"RHINELANDER, CITY OF Total",,,,,,,
,ONEIDA COUNTY Total,,,,,,,,
,OUTAGAMIE COUNTY,"BEAR CREEK, VILLAGE OF",7/22/10,,,,,,
,,"BEAR CREEK, VILLAGE OF Total",,,,,,,
,,"BLACK CREEK, VILLAGE OF",7/22/10,,,,,,
,,"BLACK CREEK, VILLAGE OF Total",,,,,,,
,,"COMBINED LOCKS, VILLAGE OF",7/22/10,,,,,,
,,"COMBINED LOCKS, VILLAGE OF Total",,,,,,,
,,"HORTONVILLE, VILLAGE OF",7/22/10,,,,,,
,,"HORTONVILLE, VILLAGE OF Total",,,,,,,
,,"KAUKAUNA, CITY OF",7/22/10,,,,,,
,,"KAUKAUNA, CITY OF Total",,,,,,,
,,"KIMBERLY, VILLAGE OF",7/22/10,,,,,,
,,"KIMBERLY, VILLAGE OF Total",,,,,,,
,,"LITTLE CHUTE, VILLAGE OF",7/22/10,,,,,,
,,"LITTLE CHUTE, VILLAGE OF Total",,,,,,,
,,"NEW LONDON, CITY OF",7/22/10,,,,,,
,,"NEW LONDON, CITY OF Total",,,,,,,
,,"NICHOLS, VILLAGE OF",7/22/10,,,,,,
,,"NICHOLS, VILLAGE OF Total",,,,,,,
,,OUTAGAMIE COUNTY ALL JURISDICTIONS,1/20/16,,,,,,
,,OUTAGAMIE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,OUTAGAMIE COUNTY UNINCORPORATED AREAS,1/20/16,,,,,,
,,OUTAGAMIE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"SEYMOUR, CITY OF",7/22/10,,,,,,
,,"SEYMOUR, CITY OF Total",,,,,,,
,,"SHIOCTON, VILLAGE OF",7/22/10,,,,,,
,,"SHIOCTON, VILLAGE OF Total",,,,,,,
,OUTAGAMIE COUNTY Total,,,,,,,,
,OZAUKEE COUNTY,"BELGIUM, VILLAGE OF",12/4/07,,,,,,
,,"BELGIUM, VILLAGE OF Total",,,,,,,
,,"CEDARBURG, CITY OF",12/4/07,,,,,,
,,"CEDARBURG, CITY OF Total",,,,,,,
,,"FREDONIA, VILLAGE OF",12/4/07,,,,,,
,,"FREDONIA, VILLAGE OF Total",,,,,,,
,,"GRAFTON, VILLAGE OF",12/4/07,,,,,,
,,"GRAFTON, VILLAGE OF Total",,,,,,,
,,"MEQUON, CITY OF",12/4/07,,,,,,
,,"MEQUON, CITY OF Total",,,,,,,
,,"NEWBURG, VILLAGE OF ",11/20/13,,,,,,
,,"NEWBURG, VILLAGE OF  Total",,,,,,,
,,OZAUKEE COUNTY ALL JURISDICTIONS,12/4/07,,,,,,
,,OZAUKEE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,OZAUKEE COUNTY UNINCORPORATED AREAS,12/4/07,,,,,,
,,OZAUKEE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"PORT WASHINGTON, CITY OF",12/4/07,,,,,,
,,"PORT WASHINGTON, CITY OF Total",,,,,,,
,,"SAUKVILLE, VILLAGE OF",12/4/07,,,,,,
,,"SAUKVILLE, VILLAGE OF Total",,,,,,,
,,"THIENSVILLE, VILLAGE OF",12/4/07,,,,,,
,,"THIENSVILLE, VILLAGE OF Total",,,,,,,
,OZAUKEE COUNTY Total,,,,,,,,
,PEPIN COUNTY,"DURAND, CITY OF",8/19/10,,,,,,
,,"DURAND, CITY OF Total",,,,,,,
,,PEPIN COUNTY ALL JURISDICTIONS,8/19/10,,,,,,
,,PEPIN COUNTY ALL JURISDICTIONS Total,,,,,,,
,,PEPIN COUNTY UNINCORPORATED AREAS,8/19/10,,,,,,
,,PEPIN COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"PEPIN, VILLAGE OF",8/19/10,,,,,,
,,"PEPIN, VILLAGE OF Total",,,,,,,
,,"STOCKHOLM, VILLAGE OF",8/19/10,,,,,,
,,"STOCKHOLM, VILLAGE OF Total",,,,,,,
,PEPIN COUNTY Total,,,,,,,,
,PIERCE COUNTY,"BAY CITY, VILLAGE OF",11/16/11,,,,,,
,,"BAY CITY, VILLAGE OF Total",,,,,,,
,,"ELLSWORTH, VILLAGE OF",11/16/11,,,,,,
,,"ELLSWORTH, VILLAGE OF Total",,,,,,,
,,"ELMWOOD, VILLAGE OF",11/16/11,,,,,,
,,"ELMWOOD, VILLAGE OF Total",,,,,,,
,,"MAIDEN ROCK, VILLAGE OF",11/16/11,,,,,,
,,"MAIDEN ROCK, VILLAGE OF Total",,,,,,,
,,PIERCE COUNTY ALL JURISDICTIONS,11/16/11,,,,,,
,,PIERCE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,PIERCE COUNTY UNINCORPORATED AREAS,11/16/11,,,,,,
,,PIERCE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"PLUM CITY, VILLAGE OF",11/16/11,,,,,,
,,"PLUM CITY, VILLAGE OF Total",,,,,,,
,,"PRESCOTT, CITY OF",11/16/11,,,,,,
,,"PRESCOTT, CITY OF Total",,,,,,,
,,"RIVER FALLS, CITY OF",11/16/11,,,,,,
,,"RIVER FALLS, CITY OF Total",,,,,,,
,,"SPRING VALLEY, VILLAGE OF",11/16/11,,,,,,
,,"SPRING VALLEY, VILLAGE OF Total",,,,,,,
,PIERCE COUNTY Total,,,,,,,,
,POLK COUNTY,"AMERY, CITY OF",9/16/11,,,,,,
,,"AMERY, CITY OF Total",,,,,,,
,,"BALSAM LAKE, VILLAGE OF",9/16/11,,,,,,
,,"BALSAM LAKE, VILLAGE OF Total",,,,,,,
,,"CENTURIA, VILLAGE OF",9/16/11,,,,,,
,,"CENTURIA, VILLAGE OF Total",,,,,,,
,,"CLAYTON, VILLAGE OF",9/16/11,,,,,,
,,"CLAYTON, VILLAGE OF Total",,,,,,,
,,"CLEAR LAKE, VILLAGE OF",9/16/11,,,,,,
,,"CLEAR LAKE, VILLAGE OF Total",,,,,,,
,,"DRESSER, VILLAGE OF",9/16/11,,,,,,
,,"DRESSER, VILLAGE OF Total",,,,,,,
,,"FREDERIC, VILLAGE OF",9/16/11,,,,,,
,,"FREDERIC, VILLAGE OF Total",,,,,,,
,,"LUCK,VILLAGE OF",9/16/11,,,,,,
,,"LUCK,VILLAGE OF Total",,,,,,,
,,"MILLTOWN, VILLAGE OF",9/16/11,,,,,,
,,"MILLTOWN, VILLAGE OF Total",,,,,,,
,,"OSCEOLA, VILLAGE OF",9/16/11,,,,,,
,,"OSCEOLA, VILLAGE OF Total",,,,,,,
,,POLK COUNTY ALL JURISDICTIONS,9/16/11,,,,,,
,,POLK COUNTY ALL JURISDICTIONS Total,,,,,,,
,,POLK COUNTY UNINCORPORATED AREAS,9/16/11,,,,,,
,,POLK COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"ST. CROIX FALLS, CITY OF",9/16/11,,,,,,
,,"ST. CROIX FALLS, CITY OF Total",,,,,,,
,POLK COUNTY Total,,,,,,,,
,PORTAGE COUNTY,"AMHERST JUNCTION, VILLAGE OF",7/20/09,,,,,,
,,"AMHERST JUNCTION, VILLAGE OF Total",,,,,,,
,,"AMHERST, VILLAGE OF",7/20/09,,,,,,
,,"AMHERST, VILLAGE OF Total",,,,,,,
,,"JUNCTION CITY, VILLAGE OF",7/20/09,,,,,,
,,"JUNCTION CITY, VILLAGE OF Total",,,,,,,
,,"NELSONVILLE, VILLAGE OF",7/20/09,,,,,,
,,"NELSONVILLE, VILLAGE OF Total",,,,,,,
,,"PARK RIDGE, VILLAGE OF",7/20/09,,,,,,
,,"PARK RIDGE, VILLAGE OF Total",,,,,,,
,,"PLOVER, VILLAGE OF",7/20/09,,,,,,
,,"PLOVER, VILLAGE OF Total",,,,,,,
,,PORTAGE COUNTY ALL JURISDICTIONS,7/20/09,,,,,,
,,PORTAGE COUNTY ALL JURISDICTIONS Total,,,,,,,
,,PORTAGE COUNTY UNINCORPORATED AREAS,7/20/09,,,,,,
,,PORTAGE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,,"ROSHOLT, VILLAGE OF",7/20/09,,,,,,
,,"ROSHOLT, VILLAGE OF Total",,,,,,,
,,"STEVENS POINT, CITY OF",7/20/09,,,,,,
,,"STEVENS POINT, CITY OF Total",,,,,,,
,,"WHITING, VILLAGE OF",7/20/09,,,,,,
,,"WHITING, VILLAGE OF Total",,,,,,,
,PORTAGE COUNTY Total,,,,,,,,
,PRICE COUNTY,"PARK FALLS, CITY OF",12/15/89,,,,,,
,,"PARK FALLS, CITY OF Total",,,,,,,
,,"PHILLIPS, CITY OF",9/18/85,,,,,,
,,"PHILLIPS, CITY OF Total",,,,,,,
,,"PRENTICE, VILLAGE OF",9/27/85,,,,,,
,,"PRENTICE, VILLAGE OF Total",,,,,,,
,,PRICE COUNTY UNINCORPORATED AREAS,12/5/89,,,,,,
,,PRICE COUNTY UNINCORPORATED AREAS Total,,,,,,,
,PRICE COUNTY Total,,,,,,,,
,RACINE COUNTY,"BURLINGTON, CITY OF",5/2/12,,,,,,
,,"BURLINGTON, CITY OF Total",,,,,,,
,,"CALEDONIA, VILLAGE OF",5/2/12,,,,,,
